"","go_ids","Freq"
"901","GO:0009008",80
"902","GO:0009009",43
"903","GO:0009014",80
"904","GO:0009015",77
"905","GO:0009017",1
"906","GO:0009019",82
"907","GO:0009029",41
"908","GO:0009030",80
"909","GO:0009041",80
"910","GO:0009052",160
"911","GO:0009055",443
"912","GO:0009056",2730
"913","GO:0009057",1018
"914","GO:0009058",13569
"915","GO:0009059",6471
"916","GO:0009060",648
"917","GO:0009061",80
"918","GO:0009062",25
"919","GO:0009063",686
"920","GO:0009064",723
"921","GO:0009065",282
"922","GO:0009066",821
"923","GO:0009067",456
"924","GO:0009068",163
"925","GO:0009069",452
"926","GO:0009070",176
"927","GO:0009071",117
"928","GO:0009072",678
"929","GO:0009073",475
"930","GO:0009074",203
"931","GO:0009081",37
"932","GO:0009084",361
"933","GO:0009085",331
"934","GO:0009086",125
"935","GO:0009089",289
"936","GO:0009094",78
"937","GO:0009095",78
"938","GO:0009100",78
"939","GO:0009101",78
"940","GO:0009102",403
"941","GO:0009103",412
"942","GO:0009106",279
"943","GO:0009107",279
"944","GO:0009108",2074
"945","GO:0009110",967
"946","GO:0009112",91
"947","GO:0009113",4
"948","GO:0009116",651
"949","GO:0009117",3025
"950","GO:0009119",570
"951","GO:0009120",81
"952","GO:0009123",1287
"953","GO:0009124",1040
"954","GO:0009126",1001
"955","GO:0009127",835
"956","GO:0009129",124
"957","GO:0009130",124
"958","GO:0009132",237
"959","GO:0009133",80
"960","GO:0009135",153
"961","GO:0009138",80
"962","GO:0009139",80
"963","GO:0009141",1082
"964","GO:0009142",675
"965","GO:0009143",240
"966","GO:0009144",921
"967","GO:0009145",595
"968","GO:0009146",160
"969","GO:0009147",241
"970","GO:0009148",80
"971","GO:0009149",160
"972","GO:0009150",1803
"973","GO:0009151",160
"974","GO:0009152",1477
"975","GO:0009155",160
"976","GO:0009156",919
"977","GO:0009157",121
"978","GO:0009161",1085
"979","GO:0009162",121
"980","GO:0009163",410
"981","GO:0009164",80
"982","GO:0009165",2131
"983","GO:0009166",516
"984","GO:0009167",1001
"985","GO:0009168",835
"986","GO:0009173",84
